DISTRICT,num,aqi,temperature,rainfall,humidity,GDP,GR,Oldpop,income
Alappuzha,5,57,28,194.7,,22283.58,14.39,653682,143542
Ernakulam,26,29,33,178.75,73,49453.29,15.09,957777,162297
Idukki,28,57,28,162.75,79,12768.89,10.17,291874,135316
Kannur,137,54,28,83.85,68,25346.44,13.64,656461,116982
Kasaragod,189,74,27,78.8,69,11522.96,12.86,275692,105555
Kollam,24,42,26,197.75,54,26437.83,13.16,737820,143638
Kottayam,22,57,27,276.35,75,24253.27,11.88,630750,132265
Kozhikode,33,42,29,167,66,30314.3,14.86,765888,113307
Malappuram,27,62,29,94.3,80,27201.83,13.28,739323,94102
Palakkad,18,59,27,73.75,67,26949.09,12.08,679775,103855
Pathanamthitta,19,57,28,342.65,79,14273.7,11.98,414013,103460
Thiruvananthapuram,19,31,29,206.2,68,38036.35,13.43,915374,129137
Thrissur,13,56,28,114,79,33575.84,14.43,884295,135518
Wayanad,5,68,29,128.7,80,6920.95,11,175619,95715
