Date,State/UnionTerritory,Confirmed,Cured,Deaths,S,I,R
1/3/2020,Kerala,3,0,0,37961280,3,0
2/3/2020,Kerala,3,0,0,37961280,3,0
3/3/2020,Kerala,3,3,0,37961280,0,3
4/3/2020,Kerala,3,3,0,37961280,0,3
5/3/2020,Kerala,3,3,0,37961280,0,3
6/3/2020,Kerala,3,3,0,37961280,0,3
7/3/2020,Kerala,3,3,0,37961280,0,3
8/3/2020,Kerala,8,3,0,37961280,5,3
9/3/2020,Kerala,9,3,0,37961280,6,3
10/3/2020,Kerala,15,3,0,37961280,12,3
11/3/2020,Kerala,17,3,0,37961280,14,3
12/3/2020,Kerala,17,3,0,37961280,14,3
13/03/20,Kerala,19,3,0,37961280,16,3
14/03/20,Kerala,19,3,0,37961280,16,3
15/03/20,Kerala,22,3,0,37961280,19,3
16/03/20,Kerala,23,3,0,37961280,20,3
17/03/20,Kerala,26,3,0,37961280,23,3
18/03/20,Kerala,27,3,0,37961280,24,3
19/03/20,Kerala,27,3,0,37961280,24,3
20/03/20,Kerala,28,3,0,37961280,25,3
21/03/20,Kerala,40,3,0,37961280,37,3
22/03/20,Kerala,52,3,0,37961280,49,3
23/03/20,Kerala,67,3,0,37961280,64,3
24/03/20,Kerala,95,4,0,37961280,91,4
25/03/20,Kerala,109,4,0,37961280,105,4
26/03/20,Kerala,118,6,0,37961280,112,6
27/03/20,Kerala,137,11,0,37961280,126,11
28/03/20,Kerala,176,11,0,37961280,165,11
29/03/20,Kerala,182,15,1,37961280,166,16
30/03/20,Kerala,202,19,1,37961280,182,20
31/03/20,Kerala,234,19,1,37961280,214,20
1/4/2020,Kerala,241,23,2,37961280,216,25
2/4/2020,Kerala,265,25,2,37961280,238,27
3/4/2020,Kerala,286,27,2,37961280,257,29
4/4/2020,Kerala,295,41,2,37961280,252,43
5/4/2020,Kerala,306,49,2,37961280,255,51
6/4/2020,Kerala,314,55,2,37961280,257,57
7/4/2020,Kerala,327,58,2,37961280,267,60
8/4/2020,Kerala,336,70,2,37961280,264,72
9/4/2020,Kerala,345,83,2,37961280,260,85
10/4/2020,Kerala,357,96,2,37961280,259,98
11/4/2020,Kerala,364,123,2,37961280,239,125
12/4/2020,Kerala,374,142,2,37961280,230,144
13/04/20,Kerala,376,179,3,37961280,194,182
14/04/20,Kerala,379,198,3,37961280,178,201
15/04/20,Kerala,387,211,3,37961280,173,214
16/04/20,Kerala,388,218,3,37961280,167,221
17/04/20,Kerala,395,245,3,37961280,147,248
18/04/20,Kerala,396,255,3,37961280,138,258
19/04/20,Kerala,400,257,3,37961280,140,260
20/04/20,Kerala,402,270,3,37961280,129,273
21/04/20,Kerala,408,291,3,37961280,114,294
22/04/20,Kerala,427,323,3,37961280,101,326
23/04/20,Kerala,438,324,3,37961280,111,327
24/04/20,Kerala,448,324,3,37961280,121,327
25/04/20,Kerala,451,331,4,37961280,116,335
26/04/20,Kerala,458,338,4,37961280,116,342
27/04/20,Kerala,469,342,4,37961280,123,346
28/04/20,Kerala,482,355,4,37961280,123,359
29/04/20,Kerala,486,359,4,37961280,123,363
30/04/20,Kerala,496,369,4,37961280,123,373
1/5/2020,Kerala,497,383,4,37961280,110,387
2/5/2020,Kerala,497,392,4,37961280,101,396
3/5/2020,Kerala,500,400,4,37961280,96,404
4/5/2020,Kerala,500,401,4,37961280,95,405
5/5/2020,Kerala,500,462,4,37961280,34,466
6/5/2020,Kerala,502,462,4,37961280,36,466
7/5/2020,Kerala,503,469,4,37961280,30,473
8/5/2020,Kerala,503,474,4,37961280,25,478
9/5/2020,Kerala,503,484,4,37961280,15,488
10/5/2020,Kerala,505,485,4,37961280,16,489
11/5/2020,Kerala,512,489,4,37961280,19,493
12/5/2020,Kerala,519,489,4,37961280,26,493
13/05/20,Kerala,524,489,4,37961280,31,493
14/05/20,Kerala,534,490,4,37961280,40,494
15/05/20,Kerala,560,491,4,37961280,65,495
16/05/20,Kerala,576,492,4,37961280,80,496
17/05/20,Kerala,587,495,4,37961280,88,499
18/05/20,Kerala,601,497,4,37961280,100,501
19/05/20,Kerala,630,497,4,37961280,129,501
20/05/20,Kerala,642,497,4,37961280,141,501
21/05/20,Kerala,666,502,4,37961280,160,506
