district,num,aqi,temperature,rainfall,humidity,GDP ,GR,Oldpop,income
Ahmednagar,35,105,25.2,561,49,38710,9.26,965735,27148
Akola,31,112,27.4,757,25,15133,19.22,366063,79829
Amravati,18,118,27.3,808,23,23770,20.48,366063,63270
Aurangabad,59,51,26,741,32,36367,7.9,638435,42102
Bid,1,96,32.7,692.8,34,14689,5.38,551928,15303
Bhandara,1,98,29.2,1388.2,29,9503,14.49,259818,30205
Buldana,29,111,25.6,832,29,15958,14.27,528078,45699
Dhule,10,86,28,565.1,33,15624,12.63,391531,85706
Gondiya,1,87,42.1,1418,36,8973,16.16,272495,22179
Hingoli,13,107,30.1,902.2,26,6402,21.46,225296,53780
Jalgaon,14,107,27.2,785,34,35149,7.91,852310,38733
Jalna,6,108,29.4,725.8,28,11752,21.86,381185,77251
Kolhapur,14,79,29.2,995.3,76,45576,11.47,894797,64218
Latur,11,85,25.9,894,28,17787,21.62,505929,34784
Mumbai,2715,108,27.2,2386,75,290661,14.96,2409831,216153
Nagpur,95,96,42.4,1064.1,21,62291,14.12,913636,83388
Nanded,6,86,32.7,1100,41,21257,18.55,598131,67654
Nashik,73,60,24.7,812,72,8055,-1.12,1058755,83395
Osmanabad,3,87,31.2,730,35,64041,18.93,382906,70633
Parbhani,104,107,21.2,1700,27,12353,19.08,349902,71426
Pune,6,55,25.1,763,78,149502,12.04,1770564,46000
Raigarh,708,85,27.2,2654,79,38684,12.51,516547,37081
Ratnagiri,61,77,27.1,3047,76,16945,7.2,443125,45264
Sangli,9,83,25.4,637,79,28499,10.2,673940,61196
Satara,30,84,24.1,1358,82,28341,9.89,749806,93158
Sindhudurg,25,66,27.2,2310,79,10453,9.6,248888,41154
Solapur,6,92,28.1,713,54,37076,6.75,904112,88621
Thane,135,37,29.3,2293.4,71,179478,13.16,1763631,157848
Washim,415,122,31.1,966,26,9179,5.01,234624,"52,075"
Yavatmal,3,153,27.6,911.34,23,19500,18.8,540069,49878
,21,,,,,,,,
