Date,State/UnionTerritory,Confirmed,Cured,Deaths,S,I,R
21/03/20,Madhya Pradesh,4,0,0,85047748,4,0
22/03/20,Madhya Pradesh,4,0,0,85047748,4,0
23/03/20,Madhya Pradesh,6,0,0,85047748,6,0
24/03/20,Madhya Pradesh,7,0,0,85047748,7,0
25/03/20,Madhya Pradesh,14,0,0,85047748,14,0
26/03/20,Madhya Pradesh,20,0,1,85047748,19,1
27/03/20,Madhya Pradesh,20,0,1,85047748,19,1
28/03/20,Madhya Pradesh,30,0,2,85047748,28,2
29/03/20,Madhya Pradesh,30,0,2,85047748,28,2
30/03/20,Madhya Pradesh,47,0,3,85047748,44,3
31/03/20,Madhya Pradesh,47,0,3,85047748,44,3
1/4/2020,Madhya Pradesh,66,0,3,85047748,63,3
2/4/2020,Madhya Pradesh,99,0,6,85047748,93,6
3/4/2020,Madhya Pradesh,104,0,6,85047748,98,6
4/4/2020,Madhya Pradesh,104,0,6,85047748,98,6
5/4/2020,Madhya Pradesh,165,0,9,85047748,156,9
6/4/2020,Madhya Pradesh,165,0,9,85047748,156,9
7/4/2020,Madhya Pradesh,229,0,13,85047748,216,13
8/4/2020,Madhya Pradesh,229,0,13,85047748,216,13
9/4/2020,Madhya Pradesh,259,0,16,85047748,243,16
10/4/2020,Madhya Pradesh,259,0,16,85047748,243,16
11/4/2020,Madhya Pradesh,443,0,33,85047748,410,33
12/4/2020,Madhya Pradesh,564,0,36,85047748,528,36
13/04/20,Madhya Pradesh,604,44,43,85047748,517,87
14/04/20,Madhya Pradesh,730,51,50,85047748,629,101
15/04/20,Madhya Pradesh,987,64,53,85047748,870,117
16/04/20,Madhya Pradesh,1120,64,53,85047748,1003,117
17/04/20,Madhya Pradesh,1308,65,57,85047748,1186,122
18/04/20,Madhya Pradesh,1355,69,69,85047748,1217,138
19/04/20,Madhya Pradesh,1407,127,70,85047748,1210,197
20/04/20,Madhya Pradesh,1485,127,74,85047748,1284,201
21/04/20,Madhya Pradesh,1540,127,76,85047748,1337,203
22/04/20,Madhya Pradesh,1592,148,80,85047748,1364,228
23/04/20,Madhya Pradesh,1695,148,81,85047748,1466,229
24/04/20,Madhya Pradesh,1852,203,83,85047748,1566,286
25/04/20,Madhya Pradesh,1952,210,92,85047748,1650,302
26/04/20,Madhya Pradesh,2096,210,99,85047748,1787,309
27/04/20,Madhya Pradesh,2168,302,106,85047748,1760,408
28/04/20,Madhya Pradesh,2368,361,113,85047748,1894,474
29/04/20,Madhya Pradesh,2561,377,119,85047748,2065,496
30/04/20,Madhya Pradesh,2660,461,130,85047748,2069,591
1/5/2020,Madhya Pradesh,2719,482,137,85047748,2100,619
2/5/2020,Madhya Pradesh,2719,524,145,85047748,2050,669
3/5/2020,Madhya Pradesh,2846,798,156,85047748,1892,954
4/5/2020,Madhya Pradesh,2942,798,165,85047748,1979,963
5/5/2020,Madhya Pradesh,3049,1000,176,85047748,1873,1176
6/5/2020,Madhya Pradesh,3049,1000,176,85047748,1873,1176
7/5/2020,Madhya Pradesh,3138,1099,185,85047748,1854,1284
8/5/2020,Madhya Pradesh,3252,1231,193,85047748,1828,1424
9/5/2020,Madhya Pradesh,3341,1349,200,85047748,1792,1549
10/5/2020,Madhya Pradesh,3614,1676,215,85047748,1723,1891
11/5/2020,Madhya Pradesh,3614,1676,215,85047748,1723,1891
12/5/2020,Madhya Pradesh,3785,1747,221,85047748,1817,1968
13/05/20,Madhya Pradesh,3986,1860,225,85047748,1901,2085
14/05/20,Madhya Pradesh,4173,2004,232,85047748,1937,2236
15/05/20,Madhya Pradesh,4426,2171,237,85047748,2018,2408
16/05/20,Madhya Pradesh,4595,2283,239,85047748,2073,2522
17/05/20,Madhya Pradesh,4789,2315,243,85047748,2231,2558
18/05/20,Madhya Pradesh,4977,2403,248,85047748,2326,2651
19/05/20,Madhya Pradesh,5236,2435,252,85047748,2549,2687
20/05/20,Madhya Pradesh,5465,2630,258,85047748,2577,2888
21/05/20,Madhya Pradesh,5735,2733,267,85047748,2735,3000
