Date,State/UnionTerritory,Confirmed,Cured,Deaths,S,I,R
9/3/2020,Maharashtra,2,0,0,124862220,2,0
10/3/2020,Maharashtra,5,0,0,124862220,5,0
11/3/2020,Maharashtra,2,0,0,124862220,2,0
12/3/2020,Maharashtra,11,0,0,124862220,11,0
13/03/20,Maharashtra,14,0,0,124862220,14,0
14/03/20,Maharashtra,14,0,0,124862220,14,0
15/03/20,Maharashtra,32,0,0,124862220,32,0
16/03/20,Maharashtra,32,0,0,124862220,32,0
17/03/20,Maharashtra,39,0,1,124862220,38,1
18/03/20,Maharashtra,42,0,1,124862220,41,1
19/03/20,Maharashtra,47,0,1,124862220,46,1
20/03/20,Maharashtra,52,0,1,124862220,51,1
21/03/20,Maharashtra,63,0,1,124862220,62,1
22/03/20,Maharashtra,67,0,2,124862220,65,2
23/03/20,Maharashtra,74,0,2,124862220,72,2
24/03/20,Maharashtra,89,0,2,124862220,87,2
25/03/20,Maharashtra,128,1,3,124862220,124,4
26/03/20,Maharashtra,124,1,3,124862220,120,4
27/03/20,Maharashtra,130,15,4,124862220,111,19
28/03/20,Maharashtra,180,25,5,124862220,150,30
29/03/20,Maharashtra,186,25,6,124862220,155,31
30/03/20,Maharashtra,198,25,8,124862220,165,33
31/03/20,Maharashtra,216,39,9,124862220,168,48
1/4/2020,Maharashtra,302,39,9,124862220,254,48
2/4/2020,Maharashtra,335,42,13,124862220,280,55
3/4/2020,Maharashtra,335,42,16,124862220,277,58
4/4/2020,Maharashtra,490,42,24,124862220,424,66
5/4/2020,Maharashtra,490,42,24,124862220,424,66
6/4/2020,Maharashtra,748,56,45,124862220,647,101
7/4/2020,Maharashtra,868,56,48,124862220,764,104
8/4/2020,Maharashtra,1018,79,64,124862220,875,143
9/4/2020,Maharashtra,1135,117,72,124862220,946,189
10/4/2020,Maharashtra,1364,125,97,124862220,1142,222
11/4/2020,Maharashtra,1574,188,110,124862220,1276,298
12/4/2020,Maharashtra,1761,208,127,124862220,1426,335
13/04/20,Maharashtra,1985,217,149,124862220,1619,366
14/04/20,Maharashtra,2337,229,160,124862220,1948,389
15/04/20,Maharashtra,2687,259,178,124862220,2250,437
16/04/20,Maharashtra,2919,295,187,124862220,2437,482
17/04/20,Maharashtra,3205,300,194,124862220,2711,494
18/04/20,Maharashtra,3323,331,201,124862220,2791,532
19/04/20,Maharashtra,3651,365,211,124862220,3075,576
20/04/20,Maharashtra,4203,507,223,124862220,3473,730
21/04/20,Maharashtra,4669,572,232,124862220,3865,804
22/04/20,Maharashtra,5221,722,251,124862220,4248,973
23/04/20,Maharashtra,5652,789,269,124862220,4594,1058
24/04/20,Maharashtra,6430,840,283,124862220,5307,1123
25/04/20,Maharashtra,6817,957,301,124862220,5559,1258
26/04/20,Maharashtra,7628,1076,323,124862220,6229,1399
27/04/20,Maharashtra,8068,1188,342,124862220,6538,1530
28/04/20,Maharashtra,8590,1282,369,124862220,6939,1651
29/04/20,Maharashtra,9318,1388,400,124862220,7530,1788
30/04/20,Maharashtra,9915,1593,432,124862220,7890,2025
1/5/2020,Maharashtra,10498,1773,459,124862220,8266,2232
2/5/2020,Maharashtra,11506,1879,485,124862220,9142,2364
3/5/2020,Maharashtra,12296,2000,521,124862220,9775,2521
4/5/2020,Maharashtra,12974,2115,548,124862220,10311,2663
5/5/2020,Maharashtra,14541,2465,583,124862220,11493,3048
6/5/2020,Maharashtra,15525,2819,617,124862220,12089,3436
7/5/2020,Maharashtra,16758,3094,651,124862220,13013,3745
8/5/2020,Maharashtra,17974,3301,694,124862220,13979,3995
9/5/2020,Maharashtra,19063,3470,731,124862220,14862,4201
10/5/2020,Maharashtra,20228,3800,779,124862220,15649,4579
11/5/2020,Maharashtra,22171,4199,832,124862220,17140,5031
12/5/2020,Maharashtra,23401,4786,868,124862220,17747,5654
13/05/20,Maharashtra,24427,5125,921,124862220,18381,6046
14/05/20,Maharashtra,25922,5547,975,124862220,19400,6522
15/05/20,Maharashtra,27524,6059,1019,124862220,20446,7078
16/05/20,Maharashtra,29100,6564,1068,124862220,21468,7632
17/05/20,Maharashtra,30706,7088,1135,124862220,22483,8223
18/05/20,Maharashtra,33053,7688,1198,124862220,24167,8886
19/05/20,Maharashtra,35058,8437,1249,124862220,25372,9686
20/05/20,Maharashtra,37136,9639,1325,124862220,26172,10964
21/05/20,Maharashtra,39297,10318,1390,124862220,27589,11708
