Date,Alappuzha,Ernakulam,Idukki ,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Thrissur,Wayanad
02-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
03-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
04-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
05-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
06-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
07-03-2020,1,0,0,0,1,0,0,0,0,0,0,0,1,0
08-03-2020,1,0,0,0,1,0,0,0,0,0,5,0,1,0
09-03-2020,1,0,0,1,1,0,0,0,0,0,5,0,1,0
10-03-2020,1,2,0,1,1,0,2,0,0,0,9,0,1,0
11-03-2020,1,2,0,1,1,0,2,0,0,0,9,0,1,0
12-03-2020,1,2,0,2,1,0,2,0,0,0,9,0,2,0
13-03-2020,1,2,0,2,1,0,2,0,0,0,9,3,2,0
14-03-2020,1,2,0,2,1,0,2,0,0,0,9,3,2,0
15-03-2020,1,2,1,2,1,0,2,0,0,0,9,4,2,0
16-03-2020,1,2,1,2,2,0,2,0,2,0,9,4,2,0
17-03-2020,1,2,1,2,2,0,2,0,2,0,9,4,2,0
18-03-2020,1,2,1,2,2,0,2,0,2,0,9,4,2,0
19-03-2020,1,2,1,2,3,0,2,0,2,0,9,4,2,0
20-03-2020,1,8,1,2,9,0,2,0,2,0,9,4,2,0
21-03-2020,1,11,1,5,15,0,2,0,2,0,9,4,2,0
22-03-2020,1,13,1,9,20,0,2,2,4,0,9,4,2,0
23-03-2020,1,15,1,14,39,0,2,2,4,0,10,4,3,0
24-03-2020,2,16,1,14,45,0,3,4,5,1,10,5,3,0
25-03-2020,2,19,2,14,45,0,3,5,5,3,12,5,3,0
26-03-2020,2,19,3,23,48,0,3,5,8,3,12,5,5,1
27-03-2020,2,19,3,25,82,1,3,6,8,3,12,5,6,1
28-03-2020,2,19,3,25,83,2,3,6,9,4,12,7,6,1
29-03-2020,2,20,3,33,90,2,3,6,10,5,12,8,7,1
30-03-2020,2,20,5,44,107,2,3,6,10,5,12,8,7,3
31-03-2020,2,20,5,45,109,3,3,6,10,5,12,10,8,3
01-04-2020,2,23,5,47,121,3,3,6,12,6,12,12,10,3
02-04-2020,2,23,10,48,129,5,3,7,13,6,13,13,11,3
03-04-2020,2,23,10,49,136,5,3,7,13,6,13,13,12,3
04-04-2020,3,24,10,50,142,6,3,7,13,7,13,13,12,3
05-04-2020,3,24,10,51,143,6,3,12,13,7,14,13,12,3
06-04-2020,3,24,10,51,152,7,3,12,15,7,15,13,12,3
07-04-2020,3,24,10,54,156,8,3,12,16,7,15,13,12,3
08-04-2020,5,24,10,58,157,8,3,12,16,7,16,13,13,3
09-04-2020,5,24,10,62,161,9,3,12,18,7,16,14,13,3
10-04-2020,5,24,10,64,164,9,3,12,20,7,16,14,13,3
11-04-2020,5,24,10,71,166,9,3,13,20,7,16,14,13,3
12-04-2020,5,24,10,72,166,9,3,13,20,7,17,14,13,3
13-04-2020,5,24,10,74,166,9,3,13,20,8,17,14,13,3
14-04-2020,5,24,10,78,167,9,3,16,20,8,17,14,13,3
15-04-2020,5,24,10,79,167,9,3,16,20,8,17,14,13,3
16-04-2020,5,24,10,83,168,9,3,18,20,8,17,14,13,3
17-04-2020,5,24,10,83,168,9,3,19,20,8,17,14,13,3
18-04-2020,5,24,10,86,168,9,3,20,20,8,17,14,13,3
19-04-2020,5,24,10,87,169,9,3,20,20,8,17,14,13,3
20-04-2020,5,24,10,93,169,9,3,20,20,8,17,14,13,3
21-04-2020,5,24,10,103,172,10,3,20,21,12,17,14,13,3
22-04-2020,5,24,10,110,172,10,4,22,22,12,17,14,13,3
23-04-2020,5,24,14,110,172,11,6,24,22,12,17,15,13,3
24-04-2020,5,24,14,110,175,11,6,24,22,12,17,15,13,3
25-04-2020,5,24,14,111,175,14,9,24,22,12,17,15,13,3
26-04-2020,5,24,20,111,175,14,14,24,22,12,17,15,13,3
27-04-2020,5,25,24,118,175,14,20,28,24,13,17,16,13,3
28-04-2020,5,25,24,123,178,14,20,28,24,13,17,16,13,3
29-04-2020,5,25,24,126,183,20,20,31,24,13,18,18,13,3
30-04-2020,5,25,24,128,186,23,20,32,26,17,19,18,13,3
01-05-2020,5,26,24,129,187,23,20,32,26,17,19,18,13,3
02-05-2020,5,26,26,136,187,23,20,32,26,17,19,18,13,4
03-05-2020,5,26,27,136,188,23,21,32,26,17,19,18,13,4
04-05-2020,5,26,28,137,189,24,22,33,27,18,19,19,13,4
05-05-2020,5,26,28,137,189,24,22,33,27,18,19,19,13,5
06-05-2020,5,26,28,137,189,24,22,33,27,18,19,19,13,5
